# time (s), error time (250 s bins), rate, error rate
# converion to flux 1E-12 erg/s/cm2
107745.906 125 0.398259997 4.39264104E-2 0.998641968
107995.906 125 0.308414161 3.94003876E-2 0.998641968
108245.906 125 0.400556535 4.5013912E-2 1.00448203
108495.906 125 0.379554391 4.32175137E-2 0.998641968
108745.906 125 0.356339157 4.40582E-2 0.998641968
108995.906 125 0.368478447 4.24475186E-2 0.998641968
109245.906 125 0.352121472 4.41410989E-2 1.00448203
109495.906 125 0.319054514 3.9847564E-2 0.998641968
109745.906 125 0.406588256 4.50057611E-2 0.998641968
109995.906 125 0.342640042 4.18698415E-2 0.998641968
110245.906 125 0.391457677 4.38955463E-2 1.00448203
110495.906 125 0.443026155 4.66620922E-2 0.998641968
110745.906 125 0.419324815 4.6958521E-2 0.986961901
110995.906 125 0.333574563 4.42195684E-2 0.864321351
111245.906 125 0.341549993 4.28489931E-2 0.998641968
111495.906 125 0.377810091 4.30363566E-2 1.00448203
111745.906 125 0.367028415 4.2186629E-2 0.998641968
111995.906 125 0.331828475 4.00334448E-2 0.998641968
112245.906 125 0.357282013 4.27960083E-2 0.998641968
112495.906 125 0.383360386 4.31247205E-2 1.00448203
112745.906 125 0.388041466 4.52666022E-2 0.998641968
112995.906 125 0.237757459 4.69048545E-2 0.998641968
113245.906 125 0.361697704 4.24512886E-2 0.998641968
113495.906 125 0.31367144 3.89784575E-2 1.00448203
113745.906 125 0.308503181 4.03359979E-2 0.998641968
113995.906 125 0.314850599 4.00904194E-2 0.998641968
114245.906 125 0.367580771 4.26085219E-2 0.998641968
114495.906 125 0.284636319 3.81008238E-2 0.998641968
114745.906 125 0.3454023 4.1015815E-2 1.00448203
114995.906 125 0.325426728 4.0565636E-2 0.998641968
115245.906 125 0.341855526 4.05112319E-2 0.998641968
115495.906 125 0.316816628 5.76451384E-2 0.998641968
115745.906 125 0.41529575 7.07025006E-2 1.00448203
115995.906 125 0.353455365 4.51713577E-2 0.998641968
116245.906 125 0.377762258 4.74419892E-2 0.998641968
116495.906 125 0.353981286 4.69700918E-2 0.998641968
116745.906 125 0.365728676 5.04824631E-2 1.00448203
116995.906 125 0.295664281 3.96349952E-2 0.998641968
117245.906 125 0.322741985 4.32119742E-2 0.998641968
117495.906 125 0.335289598 4.41405177E-2 0.998641968
117745.906 125 0.295778126 4.2828083E-2 1.00448203
117995.906 125 0.320206821 4.03018184E-2 0.998641968
118245.906 125 0.316054553 4.04999666E-2 0.998641968
118495.906 125 0.334365427 4.10629176E-2 0.998641968
118745.906 125 0.311419308 3.96768935E-2 0.998641968
118995.906 125 0.269133478 3.8761422E-2 1.00448203
119245.906 125 0.354294568 4.17640172E-2 0.998641968
119495.906 125 0.280316442 3.91273573E-2 0.998641968
119745.906 125 0.343253255 4.27064858E-2 0.998641968
119995.906 125 0.297172546 3.86357866E-2 1.00448203
120245.906 125 0.321857423 4.04539406E-2 0.998641968
